cases,deaths,countriesAndTerritories,dateRep,countryterritoryCode
234,10,Afghanistan,2020-12-07,AFG
840,16,Albania,2020-12-07,ALB
750,15,Algeria,2020-12-07,DZA
45,0,Andorra,2020-12-07,AND
55,0,Angola,2020-12-07,AGO
0,0,Antigua and Barbuda,2020-12-07,ATG
3278,138,Argentina,2020-12-07,ARG
978,17,Armenia,2020-12-07,ARM
7,0,Australia,2020-12-07,AUS
2741,83,Austria,2020-12-07,AUT
4356,39,Azerbaijan,2020-12-07,AZE
0,0,Bahamas,2020-12-07,BHS
198,0,Bahrain,2020-12-07,BHR
1756,31,Bangladesh,2020-12-07,BGD
0,0,Barbados,2020-12-07,BRB
1878,9,Belarus,2020-12-07,BLR
1814,66,Belgium,2020-12-07,BEL
168,1,Belize,2020-12-07,BLZ
0,0,Benin,2020-12-07,BEN
4,0,Bhutan,2020-12-07,BTN
68,3,Bolivia,2020-12-07,BOL
739,30,Bosnia and Herzegovina,2020-12-07,BIH
0,0,Botswana,2020-12-07,BWA
26363,313,Brazil,2020-12-07,BRA
0,0,Brunei,2020-12-07,BRN
577,68,Bulgaria,2020-12-07,BGR
56,0,Burkina Faso,2020-12-07,BFA
1108,29,Burma,2020-12-07,MMR
0,0,Burundi,2020-12-07,BDI
27,0,Cabo Verde,2020-12-07,CPV
2,0,Cambodia,2020-12-07,KHM
0,0,Cameroon,2020-12-07,CMR
6305,81,Canada,2020-12-07,CAN
0,0,Central African Republic,2020-12-07,CAF
3,0,Chad,2020-12-07,TCD
1714,36,Chile,2020-12-07,CHL
110,0,China,2020-12-07,CHN
8854,175,Colombia,2020-12-07,COL
0,0,Comoros,2020-12-07,COM
0,0,Congo (Brazzaville),2020-12-07,COG
114,2,Congo (Kinshasa),2020-12-07,COD
0,0,Costa Rica,2020-12-07,CRI
44,0,Cote d'Ivoire,2020-12-07,CIV
2899,72,Croatia,2020-12-07,HRV
68,0,Cuba,2020-12-07,CUB
270,4,Cyprus,2020-12-07,CYP
2654,87,Czechia,2020-12-07,CZE
1745,7,Denmark,2020-12-07,DNK
9,0,Djibouti,2020-12-07,DJI
0,0,Dominica,2020-12-07,DMA
798,0,Dominican Republic,2020-12-07,DOM
607,22,Ecuador,2020-12-07,ECU
418,21,Egypt,2020-12-07,EGY
413,6,El Salvador,2020-12-07,SLV
0,0,Equatorial Guinea,2020-12-07,GNQ
0,0,Eritrea,2020-12-07,ERI
478,5,Estonia,2020-12-07,EST
6,0,Eswatini,2020-12-07,SWZ
555,2,Ethiopia,2020-12-07,ETH
0,0,Fiji,2020-12-07,FJI
413,0,Finland,2020-12-07,FIN
11022,174,France,2020-12-07,FRA
0,0,Gabon,2020-12-07,GAB
0,0,Gambia,2020-12-07,GMB
4321,42,Georgia,2020-12-07,GEO
10910,150,Germany,2020-12-07,DEU
178,0,Ghana,2020-12-07,GHA
903,101,Greece,2020-12-07,GRC
0,0,Grenada,2020-12-07,GRD
198,11,Guatemala,2020-12-07,GTM
0,0,Guinea,2020-12-07,GIN
0,0,Guinea-Bissau,2020-12-07,GNB
28,2,Guyana,2020-12-07,GUY
0,0,Haiti,2020-12-07,HTI
0,0,Holy See,2020-12-07,VAT
1063,5,Honduras,2020-12-07,HND
6697,162,Hungary,2020-12-07,HUN
6,0,Iceland,2020-12-07,ISL
32981,391,India,2020-12-07,IND
6089,151,Indonesia,2020-12-07,IDN
11561,294,Iran,2020-12-07,IRN
1680,21,Iraq,2020-12-07,IRQ
298,0,Ireland,2020-12-07,IRL
1080,8,Israel,2020-12-07,ISR
18887,564,Italy,2020-12-07,ITA
57,4,Jamaica,2020-12-07,JAM
2047,30,Japan,2020-12-07,JPN
2576,46,Jordan,2020-12-07,JOR
745,0,Kazakhstan,2020-12-07,KAZ
396,8,Kenya,2020-12-07,KEN
615,4,"Korea, South",2020-12-07,KOR
468,19,Kosovo,2020-12-07,XKX
205,2,Kuwait,2020-12-07,KWT
621,7,Kyrgyzstan,2020-12-07,KGZ
0,0,Laos,2020-12-07,LAO
526,9,Latvia,2020-12-07,LVA
2817,21,Lebanon,2020-12-07,LBN
0,0,Lesotho,2020-12-07,LSO
0,0,Liberia,2020-12-07,LBR
1051,12,Libya,2020-12-07,LBY
18,0,Liechtenstein,2020-12-07,LIE
2219,15,Lithuania,2020-12-07,LTU
0,0,Luxembourg,2020-12-07,LUX
0,0,Madagascar,2020-12-07,MDG
2,0,Malawi,2020-12-07,MWI
1335,2,Malaysia,2020-12-07,MYS
39,0,Maldives,2020-12-07,MDV
73,1,Mali,2020-12-07,MLI
97,2,Malta,2020-12-07,MLT
0,0,Marshall Islands,2020-12-07,MHL
157,4,Mauritania,2020-12-07,MRT
0,0,Mauritius,2020-12-07,MUS
7455,261,Mexico,2020-12-07,MEX
808,16,Moldova,2020-12-07,MDA
1,0,Monaco,2020-12-07,MCO
38,0,Mongolia,2020-12-07,MNG
367,3,Montenegro,2020-12-07,MNE
2919,61,Morocco,2020-12-07,MAR
111,0,Mozambique,2020-12-07,MOZ
128,0,Namibia,2020-12-07,NAM
1096,17,Nepal,2020-12-07,NPL
6912,25,Netherlands,2020-12-07,NLD
1,0,New Zealand,2020-12-07,NZL
0,0,Nicaragua,2020-12-07,NIC
67,0,Niger,2020-12-07,NER
318,0,Nigeria,2020-12-07,NGA
657,23,North Macedonia,2020-12-07,MKD
250,0,Norway,2020-12-07,NOR
557,9,Oman,2020-12-07,OMN
3795,37,Pakistan,2020-12-07,PAK
1812,20,Panama,2020-12-07,PAN
0,0,Papua New Guinea,2020-12-07,PNG
707,20,Paraguay,2020-12-07,PRY
1828,36,Peru,2020-12-07,PER
1765,28,Philippines,2020-12-07,PHL
9176,228,Poland,2020-12-07,POL
3834,87,Portugal,2020-12-07,PRT
125,0,Qatar,2020-12-07,QAT
5231,134,Romania,2020-12-07,ROU
28701,447,Russia,2020-12-07,RUS
45,0,Rwanda,2020-12-07,RWA
0,0,Saint Kitts and Nevis,2020-12-07,KNA
0,0,Saint Lucia,2020-12-07,LCA
0,0,Saint Vincent and the Grenadines,2020-12-07,VCT
0,0,San Marino,2020-12-07,SMR
0,0,Sao Tome and Principe,2020-12-07,STP
187,11,Saudi Arabia,2020-12-07,SAU
80,1,Senegal,2020-12-07,SEN
5809,58,Serbia,2020-12-07,SRB
0,0,Seychelles,2020-12-07,SYC
6,0,Sierra Leone,2020-12-07,SLE
5,0,Singapore,2020-12-07,SGP
1269,15,Slovakia,2020-12-07,SVK
1030,44,Slovenia,2020-12-07,SVN
0,0,Solomon Islands,2020-12-07,SLB
0,0,Somalia,2020-12-07,SOM
4116,139,South Africa,2020-12-07,ZAF
15,0,South Sudan,2020-12-07,SSD
0,0,Spain,2020-12-07,ESP
649,3,Sri Lanka,2020-12-07,LKA
272,5,Sudan,2020-12-07,SDN
0,0,Suriname,2020-12-07,SUR
0,0,Sweden,2020-12-07,SWE
0,25,Switzerland,2020-12-07,CHE
83,5,Syria,2020-12-07,SYR
22,0,Taiwan*,2020-12-07,CNG1925
39,0,Tajikistan,2020-12-07,TJK
0,0,Tanzania,2020-12-07,TZA
21,0,Thailand,2020-12-07,THA
0,0,Timor-Leste,2020-12-07,TLS
44,0,Togo,2020-12-07,TGO
16,0,Trinidad and Tobago,2020-12-07,TTO
1011,35,Tunisia,2020-12-07,TUN
30402,195,Turkey,2020-12-07,TUR
175663,1113,US,2020-12-07,USA
311,0,Uganda,2020-12-07,UGA
11928,177,Ukraine,2020-12-07,UKR
1153,3,United Arab Emirates,2020-12-07,ARE
17372,231,United Kingdom,2020-12-07,GBR
338,1,Uruguay,2020-12-07,URY
302,0,Uzbekistan,2020-12-07,UZB
0,0,Vanuatu,2020-12-07,VUT
265,3,Venezuela,2020-12-07,VEN
1,0,Vietnam,2020-12-07,VNM
1940,16,West Bank and Gaza,2020-12-07,PSE
0,0,Western Sahara,2020-12-07,ESH
33,6,Yemen,2020-12-07,YEM
18,0,Zambia,2020-12-07,ZMB
101,0,Zimbabwe,2020-12-07,ZWE
